,start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng,merge_flag
1687,Church Sq Park - 5 St & Park Ave,11 St & Washington St,466,40.74265933273143,-74.03223305940628,40.74998490907138,-74.02715027332306,both
1714,Church Sq Park - 5 St & Park Ave,Columbus Park - Clinton St & 9 St,465,40.74265933273143,-74.03223305940628,40.74816121065146,-74.0324530005455,both
3326,Harborside,Marin Light Rail,465,40.7192517,-74.034234,40.71458403535893,-74.04281705617905,both
3796,Hudson St & 4 St,8 St & Washington St,464,40.74097260864355,-74.02860336005688,40.74598388291562,-74.02819901704788,both
4963,Marin Light Rail,Columbus Drive,462,40.71458403535893,-74.04281705617905,40.71835519823214,-74.03891444206238,both
4719,Madison St & 10 St,City Hall - Washington St & 1 St,461,40.74994325412246,-74.03586477041245,40.73736,-74.03097,both
5533,Newark Ave,Marin Light Rail,460,40.72152515,-74.046304543,40.71458403535893,-74.04281705617905,both
3354,Harborside,Washington St,457,40.7192517,-74.034234,40.7242941,-74.0354826,both
4509,Liberty Light Rail,Marin Light Rail,457,40.7112423,-74.0557013,40.71458403535893,-74.04281705617905,both
2670,Essex Light Rail,Marin Light Rail,456,40.7127742,-74.0364857,40.71458403535893,-74.04281705617905,both
808,Adams St & 11 St,City Hall - Washington St & 1 St,455,40.750915534784994,-74.03354063630104,40.73736,-74.03097,both
3569,Hoboken Ave at Monmouth St,Hamilton Park,455,40.73520838045357,-74.04696375131607,40.727595966,-74.044247311,both
3671,Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 10 St,454,40.73593758446329,-74.03030455112457,40.74994325412246,-74.03586477041245,both
6219,South Waterfront Walkway - Sinatra Dr & 1 St,Adams St & 11 St,454,40.73698221818716,-74.02778059244156,40.750915534784994,-74.03354063630104,both
2019,Clinton St & 7 St,Willow Ave & 12 St,452,40.74542,-74.03332,40.7518674823282,-74.03037697076797,both
3928,JC Medical Center,Liberty Light Rail,451,40.71653978099194,-74.0496379137039,40.7112423,-74.0557013,both
6757,Washington St,Grove St PATH,451,40.7242941,-74.0354826,40.71958611647166,-74.04311746358871,both
3625,Hoboken Terminal - Hudson St & Hudson Pl,Adams St & 11 St,450,40.73593758446329,-74.03030455112457,40.750915534784994,-74.03354063630104,both
1230,Bergen Ave & Sip Ave,Glenwood Ave,448,40.73100888698729,-74.06443700194359,40.72755146730012,-74.07106071710587,both
2967,Grand St & 14 St,Church Sq Park - 5 St & Park Ave,448,40.75409,-74.0316,40.74265933273143,-74.03223305940628,both
5714,Newport Pkwy,Marin Light Rail,448,40.7287448,-74.0321082,40.71458403535893,-74.04281705617905,both
710,9 St HBLR - Jackson St & 8 St,7 St & Monroe St,446,40.74790720968899,-74.03841152787209,40.74641264837719,-74.03797701001167,both
668,8 St & Washington St,Madison St & 10 St,444,40.74598388291562,-74.02819901704788,40.74994325412246,-74.03586477041245,both
5490,Newark Ave,Brunswick & 6th,444,40.72152515,-74.046304543,40.72601172964625,-74.05038893222809,both
3247,Hamilton Park,Washington St,443,40.727595966,-74.044247311,40.7242941,-74.0354826,both
3302,Harborside,Hamilton Park,443,40.7192517,-74.034234,40.727595966,-74.044247311,both
934,Adams St & 2 St,South Waterfront Walkway - Sinatra Dr & 1 St,441,40.73981372311843,-74.03690412640572,40.73698221818716,-74.02778059244156,both
3804,Hudson St & 4 St,Bloomfield St & 15 St,440,40.74097260864355,-74.02860336005688,40.75453,-74.02658,both
6792,Washington St,Paulus Hook,440,40.7242941,-74.0354826,40.7141454,-74.0335519,both
1585,Brunswick St,Newark Ave,439,40.7241765,-74.0506564,40.72152515,-74.046304543,both
4897,Manila & 1st,Jersey & 6th St,438,40.72165072487999,-74.04288411140442,40.72528910781132,-74.04557168483734,both
639,8 St & Washington St,Clinton St & 7 St,437,40.74598388291562,-74.02819901704788,40.74542,-74.03332,both
3203,Hamilton Park,Harborside,437,40.727595966,-74.044247311,40.7192517,-74.034234,both
658,8 St & Washington St,Hudson St & 4 St,436,40.74598388291562,-74.02819901704788,40.74097260864355,-74.02860336005688,both
2236,Columbus Drive,Grove St PATH,436,40.71835519823214,-74.03891444206238,40.71958611647166,-74.04311746358871,both
3576,Hoboken Ave at Monmouth St,Hudson St & 4 St,436,40.73520838045357,-74.04696375131607,40.74097260864355,-74.02860336005688,both
4250,Journal Square,Journal Square,436,40.73367,-74.0625,40.73367,-74.0625,both
